place_id,name,brand,cre_id,category,address_street,x,y
2075,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",PEMEX,PL/851/EXP/ES/2015,GAS_STATION,Carretera Aguascalientes - Zacatecas Km 28.5,-102.2834,22.12339
2076,OLEUM GAS S.A. DE C.V.,PEMEX,PL/754/EXP/ES/2015,GAS_STATION,Libramiento Sur Oriente No. 3430,-93.09296,16.73384
2077,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",PEMEX,PL/397/EXP/ES/2015,GAS_STATION,Ignacio Zaragoza Y Justo Sierra No. 24,-109.2961,25.96616
2078,"Gasolinería Cid, S.A. de C.V.",PEMEX,PL/823/EXP/ES/2015,GAS_STATION,Carretera Villa del Carbón No. 332,-99.36308,19.64046
2079,"Gasolinería Perseo, S.A. de C.V.",PEMEX,PL/627/EXP/ES/2015,GAS_STATION,Carretera 57 Km 16+800,-99.11606,19.74912
2080,MULTISERVICIOS LA PILARICA SA DE CV,PEMEX,PL/408/EXP/ES/2015,GAS_STATION,Boulevard Pedro Anaya 805 Poniente Francisco Villa,-109.2856,25.9744
2081,"PETROMAX, S.A. DE C.V.",PEMEX,PL/580/EXP/ES/2015,GAS_STATION,Boulevard Hidalgo No. 422 Esquina Calle San Jacinto,-98.35571,26.06025
2082,"PETROMAX, S.A. DE C.V.",PEMEX,PL/489/EXP/ES/2015,GAS_STATION,Carretera Miguel Alemán No. 1000,-100.1759,25.7805
2083,"PETROMAX, S.A. DE C.V.",PEMEX,PL/465/EXP/ES/2015,GAS_STATION,Carretera a Base Aérea Militar No. 3353,-103.4519,20.73139
2084,"SERVICIO AVENIDA, S.A. DE C.V.",PEMEX,PL/724/EXP/ES/2015,GAS_STATION,Avenida Convención 1914 Norte No. 1902,-102.3053,21.89668
2085,"ESTACION DE SERVICIO LEON, S.DER.L. DE C.V.",PEMEX,PL/829/EXP/ES/2015,GAS_STATION,Boulevard Juan José Torres Landa No. 1145,-101.6677,21.09879
2086,"PETROMAX, S.A. DE C.V.",PEMEX,PL/584/EXP/ES/2015,GAS_STATION,Avenida Misión de San Diego Y Calle Novena No. 3499,-115.3865,32.63511
2087,"ESTACION DE SERVICIO PITS, S. DE R.L. DE C.V.",PEMEX,PL/710/EXP/ES/2015,GAS_STATION,Km 144+000 de La Carretera Tecate-Tijuana,-116.7158,32.49946
2088,GRUPO GOCALVI SA DE CV,PEMEX,PL/858/EXP/ES/2015,GAS_STATION,Antonio Peralta No. 4325,-106.3973,31.5649
2089,"Socombumex, S.A. de C.V.",PEMEX,PL/690/EXP/ES/2015,GAS_STATION,Tiburón No. 1,-104.288,19.07791
2090,"Gasolinería Segovia, S.A. de C.V.",PEMEX,PL/699/EXP/ES/2015,GAS_STATION,Avenida de Las Bombas S/N,-98.99508,19.60755
2091,SERVICIO LOS OLIVOS S.A. DE C.V.(E4394),PEMEX,PL/786/EXP/ES/2015,GAS_STATION,Carretera Transpeninsular No. 101,-116.5917,31.7838
2092,MULTISERVICIOS LA PILARICA SA DE CV,PEMEX,PL/402/EXP/ES/2015,GAS_STATION,Boulevard Juan de Dios Batiz No. 346 Poniente,-108.9855,25.80147
2093,"GRUPO OCTANO, S.A. DE C.V.",PEMEX,PL/405/EXP/ES/2015,GAS_STATION,Avenida Adolfo López Mateos No. 57,-100.9704,19.79169
2094,"PETROMAX, S.A. DE C.V.",PEMEX,PL/590/EXP/ES/2015,GAS_STATION,Evaristo Caballero No. 3299,-100.2963,25.82625
2095,"GRUPO OCTANO, S.A. DE C.V.",PEMEX,PL/417/EXP/ES/2015,GAS_STATION,Avenida México No. 788,-104.8868,21.52222
2096,"Inmobiliaria Corredor Tultitlán, S.A. de C.V.",PEMEX,PL/820/EXP/ES/2015,GAS_STATION,Avenida Recursos Hidráulicos No. 240,-99.10838,19.67871
2097,"PETROMAX, S.A. DE C.V.",PEMEX,PL/601/EXP/ES/2015,GAS_STATION,Calzada Héctor Terán No. 1100,-115.4722,32.60843
2098,"PETROMAX, S.A. DE C.V.",PEMEX,PL/553/EXP/ES/2015,GAS_STATION,Vía José López Portillo Km 26.50 S/N Esquina Canosas,-99.10677,19.63609
2099,"GRUPO OCTANO, S.A. DE C.V.",PEMEX,PL/373/EXP/ES/2015,GAS_STATION,Avenida Tecnológico No. 4728,-104.8489,21.47011
2100,"PETROMAX, S.A. DE C.V.",PEMEX,PL/451/EXP/ES/2015,GAS_STATION,Carretera Miguel Alemán No. 610,-100.2104,25.73217
2101,"CRUCERO LAS GOLONDRINAS,SA DE CV",PEMEX,PL/892/EXP/ES/2015,GAS_STATION,Km 11.2 Carretera Colima - Manzanillo,-103.7721,19.14014
2102,Becktrop Operadora SA de CV,PEMEX,PL/707/EXP/ES/2015,GAS_STATION,Boulevard Gustavo Díaz Ordaz No. 15260,-116.953,32.49127
2103,"PETROMAX, S.A. DE C.V.",PEMEX,PL/594/EXP/ES/2015,GAS_STATION,Carretera Apodaca-Benito Juárez No. 1101,-100.1302,25.70155
2104,"ESTACION RAEL, S. DE R.L. DE C.V.",PEMEX,PL/660/EXP/ES/2015,GAS_STATION,Calle Vía Rápida Poniente No. 14329,-116.9663,32.51104
2105,"GRUPO OCTANO, S.A. DE C.V.",PEMEX,PL/365/EXP/ES/2015,GAS_STATION,Juárez No. 13 Oriente,-105.2828,21.54249
2106,ESTACION DE SERVICIO AUTOMOTRIZ DEL NORTE SA DE CV,PEMEX,PL/845/EXP/ES/2015,GAS_STATION,Avenida Aguascalientes No. 782,-102.2924,21.91625
2107,"SERVICIO CIBOLA, S.A. DE C.V.",PEMEX,PL/685/EXP/ES/2015,GAS_STATION,H. Colegio Militar No. 490,-100.9351,29.30929
2108,"PETROMAX, S.A. DE C.V.",PEMEX,PL/577/EXP/ES/2015,GAS_STATION,Boulevard Torreón - Matamoros No. 9100,-103.3228,25.53419
2109,MULTISERVICIOS SIGAS S.A. DE C.V.,PEMEX,PL/655/EXP/ES/2015,GAS_STATION,Emiliano Zapata No. 505,-102.4106,22.14957
2110,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",PEMEX,PL/374/EXP/ES/2015,GAS_STATION,Boulevard Solidaridad No. 4731 Sur,-109.0138,25.73669
2111,"PETROMAX, S.A. DE C.V.",PEMEX,PL/592/EXP/ES/2015,GAS_STATION,Carretera Reynosa- Monterrey Km 203,-98.38633,26.04917
2112,"Servicio Vega Atizapan, S.A. de C.V.",PEMEX,PL/879/EXP/ES/2015,GAS_STATION,Boulevard Adolfo Ruíz Cortines No. 7-A,-99.25086,19.55827
2113,"ESTACION RAEL, S. DE R.L. DE C.V.",PEMEX,PL/686/EXP/ES/2015,GAS_STATION,Boulevard Díaz Ordaz No. 1460,-116.977,32.50455
2114,"PETROMAX, S.A. DE C.V.",PEMEX,PL/571/EXP/ES/2015,GAS_STATION,Avenida México No. 100,-100.1915,25.72328
2115,"ESTACION RAMOS, S.A. DE C.V.",PEMEX,PL/812/EXP/ES/2015,GAS_STATION,Boulevard Gustavo Díaz Ordaz No. 2000,-100.941,25.52635
2116,"PETROMAX, S.A. DE C.V.",PEMEX,PL/477/EXP/ES/2015,GAS_STATION,Avenida Constituyentes No. 510 Esquina Avenida Casa Blanca,-97.53786,25.85833
2117,"ESTACION DE SERVICIO LEON, S.DER.L. DE C.V.",PEMEX,PL/841/EXP/ES/2015,GAS_STATION,Boulevard Adolfo López Mateos No. 902,-101.6691,21.12003
2118,"GRUPO OCTANO, S.A. DE C.V.",PEMEX,PL/497/EXP/ES/2015,GAS_STATION,Autopista México-Guadalajara Km 202+650 Lado Sur S/N,-100.7924,19.90187
2119,"PETROMAX, S.A. DE C.V.",PEMEX,PL/517/EXP/ES/2015,GAS_STATION,Avenida Eloy Cavazos S/N,-100.1696,25.64484
2120,"PETROLIFEROS LA TERRITORIAL, S. DE R.L. DE C.V.",PEMEX,PL/833/EXP/ES/2015,GAS_STATION,Avenida de Los Nogales No. 392,-110.93,31.27435
2121,"PETROMAX, S.A. DE C.V.",PEMEX,PL/427/EXP/ES/2015,GAS_STATION,Avenida San Pedro No. 100,-100.3682,25.67366
2122,"PETROMAX, S.A. DE C.V.",PEMEX,PL/492/EXP/ES/2015,GAS_STATION,Gaspar Castaño No. 1000,-100.1685,25.71746
2123,SERVICIO DEL CENTRO HIDALGO SA DE CV,PEMEX,PL/774/EXP/ES/2015,GAS_STATION,Calzada Miguel Hidalgo No. 110,-101.4349,20.94723
2124,"SERV.EL TRIANGULO DEL REFUGIO,S.DER.L.DEC.V.",PEMEX,PL/639/EXP/ES/2015,GAS_STATION,Avenida Mar Kara No. 169 Y Segunda,-117.0602,32.53289
2125,AMC COMBUSTIBLES Y LUBRICANTES S.A. DE C.V.,PEMEX,PL/779/EXP/ES/2015,GAS_STATION,Matamoros No. 833,-101.4206,26.91485
2126,"SERVICIO RAMA, S.A. DE C.V.",PEMEX,PL/796/EXP/ES/2015,GAS_STATION,Carretera a Cd. Acuña Km 2,-100.5448,28.70405
2127,"PETROMAX, S.A. DE C.V.",PEMEX,PL/448/EXP/ES/2015,GAS_STATION,Carretera a Colombia No. 3100,-100.2944,25.81873
2128,Servicio Ravello S.A de C.V.,PEMEX,PL/792/EXP/ES/2015,GAS_STATION,Calle Punta El Diablo No. 19452,-116.917,32.49886
2129,"ESTACION RAEL, S. DE R.L. DE C.V.",PEMEX,PL/849/EXP/ES/2015,GAS_STATION,Calzada Presidente Venustiano Carranza No. 1500,-115.3992,32.63718
2130,"PETROMAX, S.A. DE C.V.",PEMEX,PL/490/EXP/ES/2015,GAS_STATION,Prolongación Carlos Pacheco No. 701,-106.0694,28.65146
2131,"INMOBILIARIA ANADECA, S.A. DE C.V.",PEMEX,PL/680/EXP/ES/2015,GAS_STATION,Paseo de Tijuana No. 402,-117.1202,32.51353
2132,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",PEMEX,PL/413/EXP/ES/2015,GAS_STATION,Boulevard Jiquilpan No. 1699 Poniente,-109.0028,25.81053
2133,MARA ESTACION DE SERVICIOS SA DE CV,PEMEX,PL/766/EXP/ES/2015,GAS_STATION,Avenida Aguascalientes Oriente No. 2074,-102.2631,21.89202
2134,"GRUPO OCTANO, S.A. DE C.V.",PEMEX,PL/617/EXP/ES/2015,GAS_STATION,Boulevard Tepic Xalisco No. 142,-104.8968,21.49442
2135,SERVICIO OROZCO SA DE CV,PEMEX,PL/713/EXP/ES/2015,GAS_STATION,Carretera Nacional Victoria - Monterrey Km 9.5 904,-99.12276,23.82137
2136,Servicio Puerta de Hierro S.A. de C.V.,PEMEX,PL/770/EXP/ES/2015,GAS_STATION,Avenida Ignacio Sandoval No. 1555,-103.7087,19.25796
2137,"Gasolinería Real Madeira, S.A. de C.V.",PEMEX,PL/835/EXP/ES/2015,GAS_STATION,Avenida Central Lt. 1 Mz-A S/N,-99.02091,19.57863
2138,"PETROMAX, S.A. DE C.V.",PEMEX,PL/476/EXP/ES/2015,GAS_STATION,Boulevard Centenario de Torreón No. 7025,-100.9133,25.43487
2139,"PETROMAX, S.A. DE C.V.",PEMEX,PL/483/EXP/ES/2015,GAS_STATION,Décima Esquina Con Boulevard Las Fuentes No. 115,-98.31638,26.06835
2140,"Inmobiliaria Socor, S.A. de C.V.",PEMEX,PL/630/EXP/ES/2015,GAS_STATION,Carretera Nacional Visitación No. 45,-99.13939,19.71715
2141,GRUPO EMPRESARIAL CACHANILLA SA DE CV,PEMEX,PL/394/EXP/ES/2015,GAS_STATION,Calzada Manuel Gómez Morín Y Calle de Los Portales,-115.5029,32.59509
2142,"Gasolinería Itálica, S.A. de C.V.",PEMEX,PL/632/EXP/ES/2015,GAS_STATION,Avenida Valle Escondido No. 21,-99.2491,19.53231
2143,"Super Servicio Cumbre, S.A. de C.V.",PEMEX,PL/853/EXP/ES/2015,GAS_STATION,Autopista México - Acapulco Lado a Km 92.600,-99.21558,18.90457
2144,ESTACIONES DE SERVICIO CAMINOS DE GUANAJUATO SA CV,PEMEX,PL/893/EXP/ES/2015,GAS_STATION,Carretera Dolores Hidalgo - San Luis de La Paz Km 5,-100.9016,21.16531
2145,"PETROMAX, S.A. DE C.V.",PEMEX,PL/519/EXP/ES/2015,GAS_STATION,Boulevard Vito Alessio No. 4071,-100.995,25.47064
2146,"PETROMAX, S.A. DE C.V.",PEMEX,PL/523/EXP/ES/2015,GAS_STATION,Avenida Luis Donaldo Colosio No. 100,-100.3883,25.77217
2147,"PETROMAX, S.A. DE C.V.",PEMEX,PL/563/EXP/ES/2015,GAS_STATION,Avenida Juan Montemayor No. 300,-100.2403,25.71573
2148,"PETROMAX, S.A. DE C.V.",PEMEX,PL/464/EXP/ES/2015,GAS_STATION,Carretera Nacional S/N Esquina Camino a Las Boquilla,-100.0302,25.28464
2149,"PETROLIFEROS LA TERRITORIAL, S. DE R.L. DE C.V.",PEMEX,PL/834/EXP/ES/2015,GAS_STATION,Boulevard Luis Donaldo Colosio No. 3203,-110.9418,31.28525
2150,"PETROMAX, S.A. DE C.V.",PEMEX,PL/467/EXP/ES/2015,GAS_STATION,Carretera Monterrey-Reynosa Km 202.5 Esquina Con Privada de Las Bugambilias,-98.39253,26.04565
2151,"PETROMAX, S.A. DE C.V.",PEMEX,PL/485/EXP/ES/2015,GAS_STATION,Boulevard Isidoro López Zertuche No. 5950,-100.9813,25.48239
2152,"PETROMAX, S.A. DE C.V.",PEMEX,PL/494/EXP/ES/2015,GAS_STATION,Avenida Nogalar No. 305 Sur Interior 1,-100.2887,25.71853
2153,"Inmobiliaria RAVS, S.A. de C.V.",PEMEX,PL/695/EXP/ES/2015,GAS_STATION,Del Circuito de Frutas Y Verduras Mz. 11 Lt. 11,-99.08196,19.37504
2154,GASOLINA Y LUBRICANTES MALPASO SA DE CV,PEMEX,PL/725/EXP/ES/2015,GAS_STATION,Carretera Tecpatan Raudales Malpaso Km 4.23 S/N,-93.56612,17.18763
2155,"SERVICIO EFIGAS, S. DE R.L. DE C.V.",PEMEX,PL/678/EXP/ES/2015,GAS_STATION,Avenida Defensores de Baja California No. 10820 Y Esquina Con Calle Santiago de La Cruz,-117.0082,32.52866
2156,SERVICIOS ENERGETICOS DEL PACIFICO SA DE CV,PEMEX,PL/727/EXP/ES/2015,GAS_STATION,Avenida Elías Zamora Verduzco No. 2128,-104.3236,19.11446
2157,"Gasolinería México - Ajusco 1, S.A. de C.V.",PEMEX,PL/821/EXP/ES/2015,GAS_STATION,Avenida Hidalgo No. 83,-99.19692,19.2289
2158,"GRUPO OCTANO, S.A. DE C.V.",PEMEX,PL/421/EXP/ES/2015,GAS_STATION,Avenida Priciliano Sánchez No. 755,-105.2224,20.65418
2159,"GRUPO OCTANO, S.A. DE C.V.",PEMEX,PL/501/EXP/ES/2015,GAS_STATION,Carretera Morelia Salamanca Km 62 S/N,-101.1592,20.20225
2160,GRUPO EMPRESARIAL CACHANILLA SA DE CV,PEMEX,PL/383/EXP/ES/2015,GAS_STATION,Avenida Venustiano Carranza Y Calle 4ta No. 400,-114.7834,32.47077
2161,"PETROMAX, S.A. DE C.V.",PEMEX,PL/559/EXP/ES/2015,GAS_STATION,Periférico Luis Echeverría No. 2502,-100.9898,25.38848
2162,"PETROMAX, S.A. DE C.V.",PEMEX,PL/510/EXP/ES/2015,GAS_STATION,Avenida Tamazula No. 375 Esquina Piedras Negras,-103.4574,25.55805
2163,ESTACION DE SERVICIO TEZONTEPEC S.A. DE C.V.,PEMEX,PL/719/EXP/ES/2015,GAS_STATION,Insurgentes No. 45,-99.26816,20.19257
2164,"ESTACION RAEL, S. DE R.L. DE C.V.",PEMEX,PL/729/EXP/ES/2015,GAS_STATION,Boulevard Vía Rápida Oriente No. 16870,-116.9314,32.48362
2165,"Estación de Servicio Cordoba, S.A. de C.V.",PEMEX,PL/664/EXP/ES/2015,GAS_STATION,Calle 10 de Abril No. 711,-99.20078,18.91205
2166,Becktrop Operadora SA de CV,PEMEX,PL/702/EXP/ES/2015,GAS_STATION,Cuauhtémoc Sur Poniente No. 2834,-117.0217,32.51695
2167,GRUPO EMPRESARIAL CACHANILLA SA DE CV,PEMEX,PL/378/EXP/ES/2015,GAS_STATION,Calzada Gustavo Vildosola Castro No. 1901,-115.4283,32.60439
2168,GRUPO GOCALVI SA DE CV,PEMEX,PL/847/EXP/ES/2015,GAS_STATION,Bernardo Norzagaray No. 8211,-106.5244,31.77218
2169,"GRUPO OCTANO, S.A. DE C.V.",PEMEX,PL/419/EXP/ES/2015,GAS_STATION,Mariano Otero No. 3582,-103.4172,20.64037
2170,"GRUPO OCTANO, S.A. DE C.V.",PEMEX,PL/414/EXP/ES/2015,GAS_STATION,Calle Sin Nombre Esquina Con Carretera Federal Morelia-Zinapécuaro No. 2,-101.0983,19.78714
2171,GRUPO GOCALVI SA DE CV,PEMEX,PL/870/EXP/ES/2015,GAS_STATION,Ignacio Alatorre No. 2765,-106.4938,31.72176
2172,"SERVICIO GENCAR, S.A. DE C.V.",PEMEX,PL/805/EXP/ES/2015,GAS_STATION,Avenida Luis Donaldo Colosio No. 367,-91.8837,18.64528
2173,GRUPO EMPRESARIAL CACHANILLA SA DE CV,PEMEX,PL/393/EXP/ES/2015,GAS_STATION,Avenida Ignacio Zaragoza Y Avenida Cascada,-115.3589,32.55959
2174,GRUPO EMPRESARIAL CACHANILLA SA DE CV,PEMEX,PL/384/EXP/ES/2015,GAS_STATION,Calzada Heroica Puebla No. 18,-115.3366,32.56762
2175,"PETROMAX, S.A. DE C.V.",PEMEX,PL/622/EXP/ES/2015,GAS_STATION,Periférico Torreón - Gómez - Lerdo Km 4.5,-103.4968,25.59786
2176,"PETROMAX, S.A. DE C.V.",PEMEX,PL/435/EXP/ES/2015,GAS_STATION,Vía Dr. Gustavo Baz No. 46,-99.23218,19.47735
2177,"PETROMAX, S.A. DE C.V.",PEMEX,PL/466/EXP/ES/2015,GAS_STATION,Avenida Teléfono No. 1000 Esquina Con Erídano,-100.174,25.73397
2178,"PETROMAX, S.A. DE C.V.",PEMEX,PL/570/EXP/ES/2015,GAS_STATION,Avenida Republica Mexicana No. 600,-100.273,25.76927
2179,GAS SANFER S. DE R.L. DE C.V.,PEMEX,PL/755/EXP/ES/2015,GAS_STATION,Avenida San Fernando No. 175,-103.719,19.24986
2180,"COMBU-EXPRESS, S.A. DE C.V.",PEMEX,PL/769/EXP/ES/2015,GAS_STATION,Boulevard Luis Donaldo Colosio No. 814,-104.8626,21.49188
2181,"PETROMAX, S.A. DE C.V.",PEMEX,PL/450/EXP/ES/2015,GAS_STATION,Carretera Miguel Alemán No. 1001,-100.1586,25.78579
2182,"Servicio Jacarandas, S.A. de C.V.",PEMEX,PL/854/EXP/ES/2015,GAS_STATION,Carretera Texcoco - Lechería S/N,-99.0181,19.61462
2183,"PETROMAX, S.A. DE C.V.",PEMEX,PL/429/EXP/ES/2015,GAS_STATION,Boulevard Hidalgo No. 1313 Esquina Calle José Escandón,-98.29991,26.08213
2184,"GRUPO OCTANO, S.A. DE C.V.",PEMEX,PL/534/EXP/ES/2015,GAS_STATION,Avenida México No. 139,-105.2258,20.69032
2185,MULTISERVICIOS LA PILARICA SA DE CV,PEMEX,PL/379/EXP/ES/2015,GAS_STATION,Carretera Los Mochis-Topolobampo No. 4395 Sur,-109.0079,25.74504
2186,"Estación de Servicio Marbella, S.A. de C.V.",PEMEX,PL/692/EXP/ES/2015,GAS_STATION,Camino a San Andrés Lt. 2 No. 21,-99.07384,19.54896
2187,"PETROMAX, S.A. DE C.V.",PEMEX,PL/614/EXP/ES/2015,GAS_STATION,Boulevard Hidalgo No. 99 Esquina Calle Bella Vista,-98.33501,26.06836
2188,"Gasolinería Ulises, S.A. de C.V.",PEMEX,PL/648/EXP/ES/2015,GAS_STATION,Cisnes No. 40 Mz. 10 Lt. 13 Y 14,-99.2403,19.62737
2189,"ARY SUPER SERVICIOS VI, SA DE CV",PEMEX,PL/852/EXP/ES/2015,GAS_STATION,Boulevard Centenario No. 450,-103.3994,25.59699
